poll_id,study_id,release_version,pollster_id,sponsor_id,source_url,raw_hash,field_start,field_end,published_at,corrected_at,retrieved_at,valid_from,valid_to,available_at,event_time,election_id,office,state,race_id,population,sample_size,mode,dem_share,rep_share,undecided,other_share,two_party_margin,partisan,exclusion_status,exclusion_reason,parser_version,normalized_at,supersedes
poll-2014-AL-0-59,study-2014-AL-YouGov-tracker,1,YouGov,none,synthetic://fixtures/polls,b1fa02b07b973a6293f9e04adc19e0c7490a0209090a45399c3ba909d79ecff3,2014-10-07,2014-10-10,2014-10-11,,2026-09-13T15:08:13.800679+00:00,2014-10-11,,2014-10-11,2014-10-10,senate-2014,US_SENATE,AL,senate-2014-AL,RV,400,Live Phone,35.79,64.21,0.79,1.89,-28.415,False,include,,fixtures-v1,2026-09-13T15:08:13.800679+00:00,
poll-2014-AL-1-127,study-2014-AL-YouGov-tracker,1,YouGov,none,synthetic://fixtures/polls,4fdc29883f65cedfba1d90371ed9e80f4bb3f6505ad5a11142033c4f32647b60,2014-10-06,2014-10-09,2014-10-10,,2026-09-13T15:08:13.800679+00:00,2014-10-10,,2014-10-10,2014-10-09,senate-2014,US_SENATE,AL,senate-2014-AL,RV,500,IVR/Online,35.77,64.23,3.83,0.72,-28.466,False,include,,fixtures-v1,2026-09-13T15:08:13.800679+00:00,
poll-2014-AL-2-109,study-2014-AL-Data for Progress-2014-07-18,1,Data for Progress,none,synthetic://fixtures/polls,c0a9933c05baaaf4c2875dc89d057bbe4bcf2f4661acbb864753d60cbf30793d,2014-07-16,2014-07-18,2014-07-18,,2026-09-13T15:08:13.800679+00:00,2014-07-18,,2014-07-18,2014-07-18,senate-2014,US_SENATE,AL,senate-2014-AL,LV,750,Live Phone,37.88,62.12,2.51,0.71,-24.238,False,include,,fixtures-v1,2026-09-13T15:08:13.800679+00:00,
poll-2014-AL-3-40,study-2014-AL-YouGov-tracker,1,YouGov,none,synthetic://fixtures/polls,fef22649f96c02531a0cfaf91bfed41926197cf9e46fcc29ad8071a2709b001b,2014-10-04,2014-10-07,2014-10-08,,2026-09-13T15:08:13.800679+00:00,2014-10-08,,2014-10-08,2014-10-07,senate-2014,US_SENATE,AL,senate-2014-AL,RV,900,IVR/Online,39.04,60.96,4.13,1.39,-21.928,False,include,,fixtures-v1,2026-09-13T15:08:13.800679+00:00,
poll-2014-AL-4-86,study-2014-AL-RMG Research-2014-08-10,1,RMG Research,none,synthetic://fixtures/polls,81895271849370830e82e4666ee9f52f18d5f2cc4bbfe8e4299674f8643d5b67,2014-08-08,2014-08-10,2014-08-10,,2026-09-13T15:08:13.800679+00:00,2014-08-10,,2014-08-10,2014-08-10,senate-2014,US_SENATE,AL,senate-2014-AL,LV,600,Live Phone,32.21,67.79,2.14,0.48,-35.58,False,include,,fixtures-v1,2026-09-13T15:08:13.800679+00:00,
poll-2014-AL-5-117,study-2014-AL-SurveyUSA-2014-07-10,1,SurveyUSA,none,synthetic://fixtures/polls,48d338fb0dda93a67e35e31cc60a3db4feb2e125ca4a30d692b4c018d0c636d4,2014-07-06,2014-07-10,2014-07-10,,2026-09-13T15:08:13.800679+00:00,2014-07-10,,2014-07-10,2014-07-10,senate-2014,US_SENATE,AL,senate-2014-AL,RV,750,Online,32.4,67.6,5.01,1.47,-35.205,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AL-6-120,study-2014-AL-Trafalgar-2014-07-07,1,Trafalgar,none,synthetic://fixtures/polls,a0fdb3b3b57efd80dce205b7dda46fccfb91624e94a07b8c79a8347f5c5bc727,2014-07-04,2014-07-07,2014-07-07,,2026-09-13T15:08:13.801679+00:00,2014-07-07,,2014-07-07,2014-07-07,senate-2014,US_SENATE,AL,senate-2014-AL,LV,500,Online,35.88,64.12,3.96,1.18,-28.248,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AL-7-130,study-2014-AL-SurveyUSA-2014-06-27,1,SurveyUSA,none,synthetic://fixtures/polls,d53cb82b5a137efc2c164a1420c31999f7d9b3fa7113bcdbcada3a3e5dc7a1f1,2014-06-24,2014-06-27,2014-06-27,,2026-09-13T15:08:13.801679+00:00,2014-06-27,,2014-06-27,2014-06-27,senate-2014,US_SENATE,AL,senate-2014-AL,LV,1200,IVR/Online,37.27,62.73,5.32,1.09,-25.451,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AL-8-114,study-2014-AL-YouGov-2014-07-13,1,YouGov,none,synthetic://fixtures/polls,f69ba0b86e6becfb914e05c94db10cb4f7ffbeb2f4332197418b2cf24dc5232e,2014-07-09,2014-07-13,2014-07-14,,2026-09-13T15:08:13.801679+00:00,2014-07-14,,2014-07-14,2014-07-13,senate-2014,US_SENATE,AL,senate-2014-AL,LV,750,IVR/Online,42.3,57.7,3.05,1.0,-15.4,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AL-9-142,study-2014-AL-Emerson-2014-06-15,1,Emerson,none,synthetic://fixtures/polls,6315dff04a4c5ae6d631fee6b45c2c8ca8f90b32a53b682c6fb38f5b22b813ac,2014-06-11,2014-06-15,2014-06-15,,2026-09-13T15:08:13.801679+00:00,2014-06-15,,2014-06-15,2014-06-15,senate-2014,US_SENATE,AL,senate-2014-AL,LV,900,Online,36.66,63.34,2.83,1.22,-26.687,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
