race_id,election_id,office,state,seat_class,election_day,incumbent_party,is_open,prior_lean,region,not_up,held_by,fundraising_share,pres_approval,white_house_party,is_midterm,election_phase,runoff_of,vacancy_reason,ballot_status,effective_election_day
senate-2014-AK,senate-2014,US_SENATE,AK,II,2014-11-04,,False,-15.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-AL,senate-2014,US_SENATE,AL,II,2014-11-04,,False,-28.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-AR,senate-2014,US_SENATE,AR,II,2014-11-04,,False,-27.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-CO,senate-2014,US_SENATE,CO,II,2014-11-04,,False,6.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-DE,senate-2014,US_SENATE,DE,II,2014-11-04,,False,12.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-GA,senate-2014,US_SENATE,GA,II,2014-11-04,,False,0.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-HI-special,senate-2014,US_SENATE,HI,II,2014-11-04,,False,28.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-IA,senate-2014,US_SENATE,IA,II,2014-11-04,,False,-6.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-ID,senate-2014,US_SENATE,ID,II,2014-11-04,,False,-32.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-IL,senate-2014,US_SENATE,IL,II,2014-11-04,,False,14.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-KS,senate-2014,US_SENATE,KS,II,2014-11-04,,False,-14.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-KY,senate-2014,US_SENATE,KY,II,2014-11-04,,False,-24.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-LA,senate-2014,US_SENATE,LA,II,2014-11-04,,False,-18.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-MA,senate-2014,US_SENATE,MA,II,2014-11-04,,False,26.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-ME,senate-2014,US_SENATE,ME,II,2014-11-04,,False,4.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-MI,senate-2014,US_SENATE,MI,II,2014-11-04,,False,2.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-MN,senate-2014,US_SENATE,MN,II,2014-11-04,,False,4.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-MS,senate-2014,US_SENATE,MS,II,2014-11-04,,False,-18.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-MT,senate-2014,US_SENATE,MT,II,2014-11-04,,False,-12.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-NC,senate-2014,US_SENATE,NC,II,2014-11-04,,False,-2.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-NE,senate-2014,US_SENATE,NE,II,2014-11-04,,False,-20.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-NH,senate-2014,US_SENATE,NH,II,2014-11-04,,False,2.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-NJ,senate-2014,US_SENATE,NJ,II,2014-11-04,,False,10.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-NM,senate-2014,US_SENATE,NM,II,2014-11-04,,False,8.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-OK,senate-2014,US_SENATE,OK,II,2014-11-04,,False,-30.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-OK-special,senate-2014,US_SENATE,OK,II,2014-11-04,,False,-30.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-OR,senate-2014,US_SENATE,OR,II,2014-11-04,,False,10.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-RI,senate-2014,US_SENATE,RI,II,2014-11-04,,False,18.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-SC,senate-2014,US_SENATE,SC,II,2014-11-04,,False,-14.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-SC-special,senate-2014,US_SENATE,SC,II,2014-11-04,,False,-14.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-SD,senate-2014,US_SENATE,SD,II,2014-11-04,,False,-26.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-TN,senate-2014,US_SENATE,TN,II,2014-11-04,,False,-22.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-TX,senate-2014,US_SENATE,TX,II,2014-11-04,,False,-8.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-VA,senate-2014,US_SENATE,VA,II,2014-11-04,,False,6.0,other,False,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-WV,senate-2014,US_SENATE,WV,II,2014-11-04,,False,-30.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-WY,senate-2014,US_SENATE,WY,II,2014-11-04,,False,-40.0,other,False,R,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-AK-III-0,senate-2014,US_SENATE,AK,III,2014-11-04,D,False,-15.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-AL-III-1,senate-2014,US_SENATE,AL,III,2014-11-04,D,False,-28.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-AR-III-2,senate-2014,US_SENATE,AR,III,2014-11-04,D,False,-27.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-AZ-I-3,senate-2014,US_SENATE,AZ,I,2014-11-04,D,False,-2.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-AZ-III-4,senate-2014,US_SENATE,AZ,III,2014-11-04,D,False,-2.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-CA-I-5,senate-2014,US_SENATE,CA,I,2014-11-04,D,False,22.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-CA-III-6,senate-2014,US_SENATE,CA,III,2014-11-04,D,False,22.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-CO-III-7,senate-2014,US_SENATE,CO,III,2014-11-04,D,False,6.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-CT-I-8,senate-2014,US_SENATE,CT,I,2014-11-04,D,False,14.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-CT-III-9,senate-2014,US_SENATE,CT,III,2014-11-04,D,False,14.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-DE-I-10,senate-2014,US_SENATE,DE,I,2014-11-04,D,False,12.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-FL-I-11,senate-2014,US_SENATE,FL,I,2014-11-04,D,False,-4.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-FL-III-12,senate-2014,US_SENATE,FL,III,2014-11-04,D,False,-4.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-GA-III-13,senate-2014,US_SENATE,GA,III,2014-11-04,D,False,0.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-HI-I-14,senate-2014,US_SENATE,HI,I,2014-11-04,D,False,28.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-HI-III-15,senate-2014,US_SENATE,HI,III,2014-11-04,D,False,28.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-IA-III-16,senate-2014,US_SENATE,IA,III,2014-11-04,D,False,-6.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-ID-III-17,senate-2014,US_SENATE,ID,III,2014-11-04,D,False,-32.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-IL-III-18,senate-2014,US_SENATE,IL,III,2014-11-04,D,False,14.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-IN-I-19,senate-2014,US_SENATE,IN,I,2014-11-04,D,False,-16.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-IN-III-20,senate-2014,US_SENATE,IN,III,2014-11-04,D,False,-16.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-KS-III-21,senate-2014,US_SENATE,KS,III,2014-11-04,D,False,-14.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-KY-III-22,senate-2014,US_SENATE,KY,III,2014-11-04,D,False,-24.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-LA-III-23,senate-2014,US_SENATE,LA,III,2014-11-04,D,False,-18.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-MA-I-24,senate-2014,US_SENATE,MA,I,2014-11-04,D,False,26.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-MD-I-25,senate-2014,US_SENATE,MD,I,2014-11-04,D,False,22.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
senate-2014-held-MD-III-26,senate-2014,US_SENATE,MD,III,2014-11-04,D,False,22.0,other,True,D,0.5,0.0,D,True,general,,,nominated,2014-11-04
