result_id,election_id,office,state,race_id,event_time,available_at,certified_at,dem_votes,rep_votes,other_votes,two_party_margin,winner_party,source_url,raw_hash,retrieved_at,release_version
res-senate-2014-AL,senate-2014,US_SENATE,AL,senate-2014-AL,2014-11-04,2014-11-25,2014-11-25,752070,1405152,9016,-30.274,R,synthetic://fixtures/certified-results,41eb6c699cf6f0a81f930d9d6cf2a8e14810ffe8f65859fb5fdf5c18653b1c23,2026-09-13T04:47:52.670370+00:00,1
res-senate-2014-AK,senate-2014,US_SENATE,AK,senate-2014-AK,2014-11-04,2014-11-25,2014-11-25,641069,946299,7263,-19.229,R,synthetic://fixtures/certified-results,d4233d049e0fceba1f112d9d98d14f16dc39c14d09ec950753991552ae90b244,2026-09-13T04:47:52.670370+00:00,1
res-senate-2014-AR,senate-2014,US_SENATE,AR,senate-2014-AR,2014-11-04,2014-11-25,2014-11-25,723857,1376659,12644,-31.078,R,synthetic://fixtures/certified-results,d6e7e7e9402cd15c25ecfe93f61f0c41b29db917b49682e2f02753a73191dd97,2026-09-13T04:47:52.671370+00:00,1
res-senate-2014-CO,senate-2014,US_SENATE,CO,senate-2014-CO,2014-11-04,2014-11-25,2014-11-25,546558,491209,10001,5.333,D,synthetic://fixtures/certified-results,b529688ed12f188003a1e3e7d681db5ec41adfb93705215cdfbb1628da4872df,2026-09-13T04:47:52.672370+00:00,1
res-senate-2014-DE,senate-2014,US_SENATE,DE,senate-2014-DE,2014-11-04,2014-11-25,2014-11-25,622132,397821,16446,21.992,D,synthetic://fixtures/certified-results,9682b40663531446067ca04bbed9d0c47c31b6879ff26f54bbaeb67e38eac0d3,2026-09-13T04:47:52.673369+00:00,1
res-senate-2014-GA,senate-2014,US_SENATE,GA,senate-2014-GA,2014-11-04,2014-11-25,2014-11-25,518105,469933,13403,4.876,D,synthetic://fixtures/certified-results,0994de422e75261b5a4378e294b13552f198507735776fbb13c508511db77568,2026-09-13T04:47:52.673369+00:00,1
res-senate-2014-ID,senate-2014,US_SENATE,ID,senate-2014-ID,2014-11-04,2014-11-25,2014-11-25,762425,1435890,11452,-30.636,R,synthetic://fixtures/certified-results,7d8eed5241036b6cd0cd9612e72f604abb71fa6212101109cded683ecc8a1a8a,2026-09-13T04:47:52.675367+00:00,1
res-senate-2014-IL,senate-2014,US_SENATE,IL,senate-2014-IL,2014-11-04,2014-11-25,2014-11-25,655965,503242,6802,13.175,D,synthetic://fixtures/certified-results,e4128bc9e5f05a08feebc21bf82812c2411084f589bd7157c019f393b2b56cbf,2026-09-13T04:47:52.677368+00:00,1
res-senate-2014-IA,senate-2014,US_SENATE,IA,senate-2014-IA,2014-11-04,2014-11-25,2014-11-25,558825,668308,10302,-8.922,R,synthetic://fixtures/certified-results,cab6641b1edca91ba5ac37781403b19722d0e1acb58c3c0dda949cf78d3b21aa,2026-09-13T04:47:52.678369+00:00,1
res-senate-2014-KS,senate-2014,US_SENATE,KS,senate-2014-KS,2014-11-04,2014-11-25,2014-11-25,613693,850358,16475,-16.165,R,synthetic://fixtures/certified-results,1fb0376949394a0538354801d2518142e29a6c7ad8ef40c5a0db9dfb13516c2b,2026-09-13T04:47:52.684370+00:00,1
res-senate-2014-KY,senate-2014,US_SENATE,KY,senate-2014-KY,2014-11-04,2014-11-25,2014-11-25,733840,1263410,8749,-26.515,R,synthetic://fixtures/certified-results,0b83b35f0e82e40eed6b25b03693f112be641799151d58f53a24ca907df59e92,2026-09-13T04:47:52.685368+00:00,1
res-senate-2014-LA,senate-2014,US_SENATE,LA,senate-2014-LA,2014-11-04,2014-11-25,2014-11-25,665939,866824,7872,-13.106,R,synthetic://fixtures/certified-results,102dd5ca8f4ded4fb733f264268cbe6774d2730487f174c89ec66b902a74fa64,2026-09-13T04:47:52.686369+00:00,1
res-senate-2014-ME,senate-2014,US_SENATE,ME,senate-2014-ME,2014-11-04,2014-11-25,2014-11-25,580334,581717,3345,-0.119,R,synthetic://fixtures/certified-results,0c82dee324c4e377aea601a42fc61a1072bbea9c2f1b0ddd7584fc2a35263964,2026-09-13T04:47:52.688369+00:00,1
res-senate-2014-MA,senate-2014,US_SENATE,MA,senate-2014-MA,2014-11-04,2014-11-25,2014-11-25,735790,438898,9017,25.274,D,synthetic://fixtures/certified-results,b46d4af0dc911fd9fed991abc0f857103cbf0319a28a6fad584b8b2d969a4037,2026-09-13T04:47:52.689369+00:00,1
res-senate-2014-MI,senate-2014,US_SENATE,MI,senate-2014-MI,2014-11-04,2014-11-25,2014-11-25,540721,557032,17837,-1.486,R,synthetic://fixtures/certified-results,83bd84def60d31e69661db526d744eb0833c00ea3916b8cfff08dbaa01d4a288,2026-09-13T04:47:52.691368+00:00,1
res-senate-2014-MN,senate-2014,US_SENATE,MN,senate-2014-MN,2014-11-04,2014-11-25,2014-11-25,581353,507108,10472,6.821,D,synthetic://fixtures/certified-results,8170248b4f76eac975b324c8fc9ea478594e4ecccd1f97f1e4deea400a65f08c,2026-09-13T04:47:52.692369+00:00,1
res-senate-2014-MS,senate-2014,US_SENATE,MS,senate-2014-MS,2014-11-04,2014-11-25,2014-11-25,704527,1163726,1627,-24.579,R,synthetic://fixtures/certified-results,365f419a5bf3b37d6f0e50ffb0d12963edd6d5995f6788630d2c72dc5eaa6cf4,2026-09-13T04:47:52.693371+00:00,1
res-senate-2014-MT,senate-2014,US_SENATE,MT,senate-2014-MT,2014-11-04,2014-11-25,2014-11-25,588172,653207,4706,-5.239,R,synthetic://fixtures/certified-results,906a853bb3b0c02cd97cbed0180ff662e4faf4a6c85d70545845db4f2d597bd3,2026-09-13T04:47:52.696369+00:00,1
res-senate-2014-NE,senate-2014,US_SENATE,NE,senate-2014-NE,2014-11-04,2014-11-25,2014-11-25,696093,1102689,11673,-22.604,R,synthetic://fixtures/certified-results,d16e363058c529503ffbd6adfac168569fe4fb5d3906ea7889590877fa52a2cc,2026-09-13T04:47:52.697369+00:00,1
res-senate-2014-NH,senate-2014,US_SENATE,NH,senate-2014-NH,2014-11-04,2014-11-25,2014-11-25,538109,561695,7186,-2.145,R,synthetic://fixtures/certified-results,71903ec4ae3cb9945e1d29ea82bd94537f3eb1f6ed00798c94002e43464cd6cd,2026-09-13T04:47:52.698369+00:00,1
res-senate-2014-NJ,senate-2014,US_SENATE,NJ,senate-2014-NJ,2014-11-04,2014-11-25,2014-11-25,600709,442879,11103,15.124,D,synthetic://fixtures/certified-results,31acc8db457e1aac29cbc55c5c312efed2bc97102d845a6854f81c5fcc91adc9,2026-09-13T04:47:52.699370+00:00,1
res-senate-2014-NM,senate-2014,US_SENATE,NM,senate-2014-NM,2014-11-04,2014-11-25,2014-11-25,600077,482421,7235,10.869,D,synthetic://fixtures/certified-results,45d90f9f6faa40a72918f9b97af84b986473e5182b11b38ac93f117fb58cf61f,2026-09-13T04:47:52.701370+00:00,1
res-senate-2014-NC,senate-2014,US_SENATE,NC,senate-2014-NC,2014-11-04,2014-11-25,2014-11-25,532635,558241,15724,-2.347,R,synthetic://fixtures/certified-results,6be3d030aec1d50b85d42b2bb890b233cdab9eff96214055185a70842283db07,2026-09-13T04:47:52.701370+00:00,1
res-senate-2014-OK,senate-2014,US_SENATE,OK,senate-2014-OK,2014-11-04,2014-11-25,2014-11-25,706822,1192438,17887,-25.569,R,synthetic://fixtures/certified-results,8fcb36aabe50de426888d7a8ecbc27feb9db90473c444c267d25977fa7884a72,2026-09-13T04:47:52.702370+00:00,1
res-senate-2014-OR,senate-2014,US_SENATE,OR,senate-2014-OR,2014-11-04,2014-11-25,2014-11-25,598628,454333,7648,13.704,D,synthetic://fixtures/certified-results,c33f0c836937d4b8bb631c898f11c30102de081e796d8ddb314db92c68fbcd6f,2026-09-13T04:47:52.703370+00:00,1
res-senate-2014-RI,senate-2014,US_SENATE,RI,senate-2014-RI,2014-11-04,2014-11-25,2014-11-25,689198,442170,9331,21.834,D,synthetic://fixtures/certified-results,08cc76beb0265130edb1aa748f226c6630ee8a68575408f026f3ef6611faea3c,2026-09-13T04:47:52.703370+00:00,1
res-senate-2014-SC,senate-2014,US_SENATE,SC,senate-2014-SC,2014-11-04,2014-11-25,2014-11-25,622432,793964,11315,-12.11,R,synthetic://fixtures/certified-results,b524be8b9495ea5eaa3ca6abca2e14594fa71d61c52f44bd8b5535b7161b71a0,2026-09-13T04:47:52.704370+00:00,1
res-senate-2014-SD,senate-2014,US_SENATE,SD,senate-2014-SD,2014-11-04,2014-11-25,2014-11-25,772512,1546969,11910,-33.389,R,synthetic://fixtures/certified-results,c892b25db2db110d212ab8a2c48fe1d459ea37cdbf493bc9b7e2163e1c162b7e,2026-09-13T04:47:52.705368+00:00,1
res-senate-2014-TN,senate-2014,US_SENATE,TN,senate-2014-TN,2014-11-04,2014-11-25,2014-11-25,691878,1010736,4527,-18.728,R,synthetic://fixtures/certified-results,bf055a4659914920e8c1d83ca83e784df7726637b01da67553eb48e20e0356f3,2026-09-13T04:47:52.705368+00:00,1
res-senate-2014-TX,senate-2014,US_SENATE,TX,senate-2014-TX,2014-11-04,2014-11-25,2014-11-25,614921,709157,1507,-7.117,R,synthetic://fixtures/certified-results,01b40f846d9d525186ad3d707e4d41c2199775c776b38ea621d90c81cc995101,2026-09-13T04:47:52.707369+00:00,1
res-senate-2014-VA,senate-2014,US_SENATE,VA,senate-2014-VA,2014-11-04,2014-11-25,2014-11-25,579848,535964,1488,3.933,D,synthetic://fixtures/certified-results,2762b8af38e14a572c66fc6b33b46fff31ed42adfdadcbec3a683eccb8d61df0,2026-09-13T04:47:52.709368+00:00,1
res-senate-2014-WV,senate-2014,US_SENATE,WV,senate-2014-WV,2014-11-04,2014-11-25,2014-11-25,780078,1314111,18871,-25.501,R,synthetic://fixtures/certified-results,08b643677b5051edbe1160f5b07f7161a176d29f0e6ec6637c2caf5388f44fd6,2026-09-13T04:47:52.710369+00:00,1
res-senate-2014-WY,senate-2014,US_SENATE,WY,senate-2014-WY,2014-11-04,2014-11-25,2014-11-25,835033,2094891,1934,-43.0,R,synthetic://fixtures/certified-results,776dad3b1ded76ccddb0ed951ac6806fa2ee06f838d0e09adc47e0815985f180,2026-09-13T04:47:52.712368+00:00,1
res-senate-2016-AZ,senate-2016,US_SENATE,AZ,senate-2016-AZ,2016-11-08,2016-11-29,2016-11-29,537352,541762,19625,-0.409,R,synthetic://fixtures/certified-results,f2454a06a3cddb8cdff64fbe1f4fddd577f566e00d562c6d48f5004fd449a3b8,2026-09-13T04:47:52.723368+00:00,1
res-senate-2016-CA,senate-2016,US_SENATE,CA,senate-2016-CA,2016-11-08,2016-11-29,2016-11-29,723421,404655,17978,28.257,D,synthetic://fixtures/certified-results,15059e53c1acdae6eb1d0d6bf0fec59912975a732fffc87c043463e36651ffcb,2026-09-13T04:47:52.724368+00:00,1
res-senate-2016-CT,senate-2016,US_SENATE,CT,senate-2016-CT,2016-11-08,2016-11-29,2016-11-29,676971,508273,1989,14.233,D,synthetic://fixtures/certified-results,529119b3647be8c882f8392f2cba56a4de66a4d557cccfbf1da5a2194cb89065,2026-09-13T04:47:52.726371+00:00,1
res-senate-2016-FL,senate-2016,US_SENATE,FL,senate-2016-FL,2016-11-08,2016-11-29,2016-11-29,557550,627868,2061,-5.932,R,synthetic://fixtures/certified-results,a25766ddff1e375f90c95019ee4a35ac3a31ddd7ced3819e96fa0276ce918fc1,2026-09-13T04:47:52.726371+00:00,1
res-senate-2016-HI,senate-2016,US_SENATE,HI,senate-2016-HI,2016-11-08,2016-11-29,2016-11-29,758860,388573,1320,32.271,D,synthetic://fixtures/certified-results,20f40b5ef312b3e86570d8f515c55252cc26443bce235e42b8b2f4460bf78e45,2026-09-13T04:47:52.727369+00:00,1
res-senate-2016-ID,senate-2016,US_SENATE,ID,senate-2016-ID,2016-11-08,2016-11-29,2016-11-29,795609,1555425,5574,-32.318,R,synthetic://fixtures/certified-results,2ea794cc3cd444c34c6cc714a0d956bbd6e446fbc7c5e95af9d0293b07c42506,2026-09-13T04:47:52.729370+00:00,1
res-senate-2016-IN,senate-2016,US_SENATE,IN,senate-2016-IN,2016-11-08,2016-11-29,2016-11-29,644880,845198,17965,-13.443,R,synthetic://fixtures/certified-results,d75630af5f41f4c11f97710fec96fadeeef2534e6aa3081e3229bde85de94ab2,2026-09-13T04:47:52.731370+00:00,1
res-senate-2016-KY,senate-2016,US_SENATE,KY,senate-2016-KY,2016-11-08,2016-11-29,2016-11-29,712092,1216954,13767,-26.172,R,synthetic://fixtures/certified-results,cf1752c5f581c179408046fcd769f94585e14ff50b980e342dc4fcea459c22cd,2026-09-13T04:47:52.732371+00:00,1
res-senate-2016-MD,senate-2016,US_SENATE,MD,senate-2016-MD,2016-11-08,2016-11-29,2016-11-29,695899,384394,4489,28.835,D,synthetic://fixtures/certified-results,1229b6256a5393ceb8bccc8891d982ebb90792f9ff23a59fd02a8caed330feac,2026-09-13T04:47:52.733368+00:00,1
res-senate-2016-MO,senate-2016,US_SENATE,MO,senate-2016-MO,2016-11-08,2016-11-29,2016-11-29,618327,714029,5027,-7.183,R,synthetic://fixtures/certified-results,646eeb5b7bfe4a35c31b8aa4c487a0306fbf74282caae7af8f2bf0ffd001bba9,2026-09-13T04:47:52.734369+00:00,1
res-senate-2016-ND,senate-2016,US_SENATE,ND,senate-2016-ND,2016-11-08,2016-11-29,2016-11-29,703279,1236531,15980,-27.49,R,synthetic://fixtures/certified-results,f2a5362076aa5fbfddc1a0166a33f6f472e5b1e37d26ce007380f3581e35db64,2026-09-13T04:47:52.734369+00:00,1
res-senate-2016-NJ,senate-2016,US_SENATE,NJ,senate-2016-NJ,2016-11-08,2016-11-29,2016-11-29,560457,460699,12920,9.769,D,synthetic://fixtures/certified-results,9af60dc0d4c44544d914997e67d88d1789618a0bc7d294508dfc09b58af69e1c,2026-09-13T04:47:52.735371+00:00,1
res-senate-2016-NV,senate-2016,US_SENATE,NV,senate-2016-NV,2016-11-08,2016-11-29,2016-11-29,537452,579603,18119,-3.773,R,synthetic://fixtures/certified-results,1711bc09bfa22826848952e314b34772e91deed57481c76cd700a3beeeed2292,2026-09-13T04:47:52.736372+00:00,1
res-senate-2016-NY,senate-2016,US_SENATE,NY,senate-2016-NY,2016-11-08,2016-11-29,2016-11-29,676703,429484,19682,22.349,D,synthetic://fixtures/certified-results,d346e37cf62e7a67ee75486ff3add494398bccd298dba78985ef8daff83554dc,2026-09-13T04:47:52.739369+00:00,1
res-senate-2016-OH,senate-2016,US_SENATE,OH,senate-2016-OH,2016-11-08,2016-11-29,2016-11-29,566073,617432,6121,-4.34,R,synthetic://fixtures/certified-results,d362dfc4aede10a3bccf181cae1af4eadb402dae8e7c3d332e5a1b656dd8f886,2026-09-13T04:47:52.740368+00:00,1
res-senate-2016-PA,senate-2016,US_SENATE,PA,senate-2016-PA,2016-11-08,2016-11-29,2016-11-29,507331,491597,10198,1.575,D,synthetic://fixtures/certified-results,009c5ade98b4aa7bcabdb4621fd38850bce2db6e067c946bac41c4a1fb5abd54,2026-09-13T04:47:52.744371+00:00,1
res-senate-2016-TX,senate-2016,US_SENATE,TX,senate-2016-TX,2016-11-08,2016-11-29,2016-11-29,586888,679889,4371,-7.342,R,synthetic://fixtures/certified-results,d0b9deaf3890960daa0e608a70d14db5060cc1bf8f1862dbd912900ca56bd022,2026-09-13T04:47:52.750371+00:00,1
res-senate-2016-UT,senate-2016,US_SENATE,UT,senate-2016-UT,2016-11-08,2016-11-29,2016-11-29,732395,1143763,1075,-21.926,R,synthetic://fixtures/certified-results,79abe3268497255328ddddb483169dea8c4f98af80f84b543ad00bfebe707204,2026-09-13T04:47:52.752369+00:00,1
res-senate-2016-VT,senate-2016,US_SENATE,VT,senate-2016-VT,2016-11-08,2016-11-29,2016-11-29,783516,355814,17188,37.54,D,synthetic://fixtures/certified-results,cd74e4e06ee9b8b268933da028a01b36b0872ebf0ec5bb2974f6949918694870,2026-09-13T04:47:52.755369+00:00,1
res-senate-2016-WA,senate-2016,US_SENATE,WA,senate-2016-WA,2016-11-08,2016-11-29,2016-11-29,637054,464109,16985,15.706,D,synthetic://fixtures/certified-results,b4a441db94271351b0d8159701bdeece6133f871f40ea4ba44e06a7eb8976ec1,2026-09-13T04:47:52.757370+00:00,1
res-senate-2016-WI,senate-2016,US_SENATE,WI,senate-2016-WI,2016-11-08,2016-11-29,2016-11-29,543708,491857,9419,5.007,D,synthetic://fixtures/certified-results,9ac16d421ac8878bee62debe305cdaf47040afcaeba4fd74b66ced420d6c982c,2026-09-13T04:47:52.759369+00:00,1
res-senate-2016-WY,senate-2016,US_SENATE,WY,senate-2016-WY,2016-11-08,2016-11-29,2016-11-29,856282,1751739,11148,-34.335,R,synthetic://fixtures/certified-results,3de7f66c9a8a4967ffb139423ad438a973087cdc16d5d1c0cb35526038384cbf,2026-09-13T04:47:52.761369+00:00,1
res-senate-2018-AL,senate-2018,US_SENATE,AL,senate-2018-AL,2018-11-06,2018-11-27,2018-11-27,773052,1381033,8344,-28.225,R,synthetic://fixtures/certified-results,ee0167baba78caf9f34012ca00bd995bf6203269a41dc7d15b24b5a3bc512f3c,2026-09-13T04:47:52.776370+00:00,1
res-senate-2018-AK,senate-2018,US_SENATE,AK,senate-2018-AK,2018-11-06,2018-11-27,2018-11-27,629588,801146,14369,-11.991,R,synthetic://fixtures/certified-results,e4ac621e1fbfeee2dc6e74d2a59d774c2af2f06beb025fddd50c2aa3f760123a,2026-09-13T04:47:52.777368+00:00,1
res-senate-2018-AR,senate-2018,US_SENATE,AR,senate-2018-AR,2018-11-06,2018-11-27,2018-11-27,748843,1330920,3511,-27.988,R,synthetic://fixtures/certified-results,7946823cdbb3f77d6d62a595edbcb8b6193ad419931eff1f64718bc744588a42,2026-09-13T04:47:52.777368+00:00,1
res-senate-2018-CO,senate-2018,US_SENATE,CO,senate-2018-CO,2018-11-06,2018-11-27,2018-11-27,600636,528612,8580,6.378,D,synthetic://fixtures/certified-results,0ea0a6d348aafabe41b4415b2d4e126933ced6509b941a14cac61a2b34039ccc,2026-09-13T04:47:52.779368+00:00,1
res-senate-2018-DE,senate-2018,US_SENATE,DE,senate-2018-DE,2018-11-06,2018-11-27,2018-11-27,607385,466867,1532,13.081,D,synthetic://fixtures/certified-results,e7d07eed779f67b540440fa5c4fff5a0dda468ecc73672717a5db1fd9302b0db,2026-09-13T04:47:52.780369+00:00,1
res-senate-2018-GA,senate-2018,US_SENATE,GA,senate-2018-GA,2018-11-06,2018-11-27,2018-11-27,534994,481275,3567,5.286,D,synthetic://fixtures/certified-results,d9b6e26ec5dcd4124d221515000afa9e7ea655d5c2fffff1c131bca52cd9e034,2026-09-13T04:47:52.783369+00:00,1
res-senate-2018-ID,senate-2018,US_SENATE,ID,senate-2018-ID,2018-11-06,2018-11-27,2018-11-27,807830,1719520,6003,-36.073,R,synthetic://fixtures/certified-results,a45a06325de4842199467c412cc6c5ef7cd856eb1ed2fcba8da20a4fe7097c61,2026-09-13T04:47:52.785376+00:00,1
res-senate-2018-IL,senate-2018,US_SENATE,IL,senate-2018-IL,2018-11-06,2018-11-27,2018-11-27,650238,416062,7025,21.962,D,synthetic://fixtures/certified-results,92559d06f50fc4bf660d7dd732e763f7d04b5a7c9369fad60c14b1563e87bc49,2026-09-13T04:47:52.787381+00:00,1
res-senate-2018-IA,senate-2018,US_SENATE,IA,senate-2018-IA,2018-11-06,2018-11-27,2018-11-27,584365,690089,17679,-8.296,R,synthetic://fixtures/certified-results,e85674488332082de1db4e590498b3986e680b0c8d54cdc341a5f6418fb2b3cc,2026-09-13T04:47:52.787381+00:00,1
res-senate-2018-KS,senate-2018,US_SENATE,KS,senate-2018-KS,2018-11-06,2018-11-27,2018-11-27,669294,951524,9944,-17.413,R,synthetic://fixtures/certified-results,db8d26dbebc5e99f3bce54fe266e2973fde3f6f76735602bfa17309211155c38,2026-09-13T04:47:52.788375+00:00,1
res-senate-2018-KY,senate-2018,US_SENATE,KY,senate-2018-KY,2018-11-06,2018-11-27,2018-11-27,714470,1249638,19677,-27.247,R,synthetic://fixtures/certified-results,af9e048bb78e086982975bfc3dcf7b429756a1c0330d5cbc2b55c2544e71e3e4,2026-09-13T04:47:52.790377+00:00,1
res-senate-2018-LA,senate-2018,US_SENATE,LA,senate-2018-LA,2018-11-06,2018-11-27,2018-11-27,702381,1067725,5273,-20.64,R,synthetic://fixtures/certified-results,911f4af6326d46878001eac78916c20e2c2f548791a02acaed9e3230ffb72789,2026-09-13T04:47:52.792378+00:00,1
res-senate-2018-ME,senate-2018,US_SENATE,ME,senate-2018-ME,2018-11-06,2018-11-27,2018-11-27,548817,442507,10280,10.724,D,synthetic://fixtures/certified-results,577d60f0ce6f5539d64fdb37c6628704dbca93a880dab8232066d72bacf2f3e6,2026-09-13T04:47:52.792378+00:00,1
res-senate-2018-MA,senate-2018,US_SENATE,MA,senate-2018-MA,2018-11-06,2018-11-27,2018-11-27,714303,382116,3571,30.297,D,synthetic://fixtures/certified-results,da87fd489162c6b6fe1c8c706989f6902d0f202ed0e22711a242fbf9242c69b0,2026-09-13T04:47:52.793375+00:00,1
res-senate-2018-MI,senate-2018,US_SENATE,MI,senate-2018-MI,2018-11-06,2018-11-27,2018-11-27,538838,447634,6180,9.245,D,synthetic://fixtures/certified-results,6c3d854e811d54e4b84e2eb481ab6e5b0cc91097ac1521140e4762bc113255c4,2026-09-13T04:47:52.794376+00:00,1
res-senate-2018-MN,senate-2018,US_SENATE,MN,senate-2018-MN,2018-11-06,2018-11-27,2018-11-27,612012,424329,5842,18.11,D,synthetic://fixtures/certified-results,57ebc35d58aeb8babb4888be1da7c8b2ebf62116319b7c206695095329adac9f,2026-09-13T04:47:52.795376+00:00,1
res-senate-2018-MS,senate-2018,US_SENATE,MS,senate-2018-MS,2018-11-06,2018-11-27,2018-11-27,659039,888838,2115,-14.846,R,synthetic://fixtures/certified-results,7f163b2c55c4dc1e2fdeea0a2d2bc00c5e76e0ff11573e8e1de62d19d5b7bc28,2026-09-13T04:47:52.795376+00:00,1
res-senate-2018-MT,senate-2018,US_SENATE,MT,senate-2018-MT,2018-11-06,2018-11-27,2018-11-27,626182,673267,1508,-3.623,R,synthetic://fixtures/certified-results,0bca76707b6f8895784c90fee519542033f10db7478f3285264028eadad8854d,2026-09-13T04:47:52.796376+00:00,1
res-senate-2018-NE,senate-2018,US_SENATE,NE,senate-2018-NE,2018-11-06,2018-11-27,2018-11-27,672330,1073449,3048,-22.977,R,synthetic://fixtures/certified-results,4ba867eb4499d238eb3564ba67c6987d4397f89cc40443268cdde94bc8e74195,2026-09-13T04:47:52.797376+00:00,1
res-senate-2018-NH,senate-2018,US_SENATE,NH,senate-2018-NH,2018-11-06,2018-11-27,2018-11-27,529753,483018,12883,4.615,D,synthetic://fixtures/certified-results,1a4f74e6096ac7d0a455cf489bc8fead8492b645e2c92a78d704fe017d10612e,2026-09-13T04:47:52.798375+00:00,1
res-senate-2018-NJ,senate-2018,US_SENATE,NJ,senate-2018-NJ,2018-11-06,2018-11-27,2018-11-27,646805,486714,3482,14.123,D,synthetic://fixtures/certified-results,1d31a3004770c9bcf867290a691134e173835f971f5e067b8b5e2bc98a429c79,2026-09-13T04:47:52.798375+00:00,1
res-senate-2018-NM,senate-2018,US_SENATE,NM,senate-2018-NM,2018-11-06,2018-11-27,2018-11-27,588276,470026,10290,11.174,D,synthetic://fixtures/certified-results,5010c2200aeaec48f6c4eb91c438f6d3d3fe3aa135943400d8552e34d07d7dd7,2026-09-13T04:47:52.800415+00:00,1
res-senate-2018-NC,senate-2018,US_SENATE,NC,senate-2018-NC,2018-11-06,2018-11-27,2018-11-27,572695,568358,1600,0.38,D,synthetic://fixtures/certified-results,927410b045987f9eba6c47850e9935eb922dbe4cc2bf2d1f8a9a6acd6abf0cd2,2026-09-13T04:47:52.800937+00:00,1
