rowid,question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
1,140470,74596,2022,Wisconsin,1365,Change Research,,,Change Research,48,Change Research,B-,1723,lv,lv,Online,U.S. Senate,2,Class III,3/25/21,3/27/21,11/8/22,Tom Nelson,1,DEM,,0,0,4/2/21 10:55,,https://twitter.com/AndrewSolender/status/1377295346196430852/photo/1,general,8951,Nelson,19210,Tom Nelson,DEM,48.0
2,140470,74596,2022,Wisconsin,1365,Change Research,,,Change Research,48,Change Research,B-,1723,lv,lv,Online,U.S. Senate,2,Class III,3/25/21,3/27/21,11/8/22,Tom Nelson,1,DEM,,0,0,4/2/21 10:55,,https://twitter.com/AndrewSolender/status/1377295346196430852/photo/1,general,8951,Johnson,19211,Ron Johnson,REP,44.0
3,140300,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:38,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Acton,19163,Amy Leigh Acton,DEM,42.0
4,140300,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:38,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Mandel,19164,Josh Mandel,REP,41.0
5,140301,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:39,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Acton,19163,Amy Leigh Acton,DEM,40.0
6,140301,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:39,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Timken,19165,Jane Timken,REP,40.0
7,140302,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:41,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Acton,19163,Amy Leigh Acton,DEM,40.0
8,140302,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:41,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Vance,19167,James David Vance,REP,38.0
9,140303,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:43,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Ryan,19168,Tim Ryan,DEM,38.0
10,140303,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:43,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Mandel,19164,Josh Mandel,REP,42.0
