poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89373,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,"",,,,,216488,875,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,DEM,Gallego,30920,Ruben Gallego,47.8
89373,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,"",,,,,216488,875,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,REP,Lake,30921,Kari Lake,48.4
89375,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,"",,,,,216489,1113,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,DEM,Slotkin,31025,Elissa Slotkin,48.6
89375,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,11/3/24,11/4/24,,"",,,,,216489,1113,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,REP,Rogers,31045,Mike Rogers,47.5
89378,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,11/3/24,11/4/24,,"",,,,,216492,707,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,DEM,Rosen,31010,Jacky S. Rosen,48.2
89378,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,11/3/24,11/4/24,,"",,,,,216492,707,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9521,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,REP,Brown,31105,Sam Brown,42.7
89381,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,11/3/24,11/4/24,,"",,,,,216494,1840,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9527,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,DEM,Casey,30990,Robert P. Casey Jr.,49.2
89381,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,11/3/24,11/4/24,,"",,,,,216494,1840,lv,,lv,,11/4/24 19:28,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9527,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,REP,McCormick,30991,Dave McCormick,46.5
89384,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,11/3/24,11/4/24,,"",,,,,216497,869,lv,,lv,,11/4/24 19:29,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,DEM,Baldwin,31019,Tammy Baldwin,48.8
89384,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,11/3/24,11/4/24,,"",,,,,216497,869,lv,,lv,,11/4/24 19:29,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,9534,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,false,REP,Hovde,31201,Eric D. Hovde,47.9
