poll_id,study_id,release_version,pollster_id,sponsor_id,source_url,raw_hash,field_start,field_end,published_at,corrected_at,retrieved_at,valid_from,valid_to,available_at,event_time,election_id,office,state,race_id,population,sample_size,mode,dem_share,rep_share,undecided,other_share,two_party_margin,partisan,exclusion_status,exclusion_reason,parser_version,normalized_at,supersedes,geography_version_id,candidate_set_version,question_id,frame,recruitment,language,design_effect,leaners_included,multiway,questionnaire_hash,dem_candidate_id,dem_candidate_name,rep_candidate_id,rep_candidate_name,matchup_id,hypothetical,contest_kind,seat_name,election_stage,quality_weight,house_effect_prior,extra_sd_prior,pollster_grade,rating_source,dem_candidate,rep_candidate,region
vh-us-202uni63b326ca,vh-study-us-202uni63b326ca,1,University of Massachusetts Lowell-YouGov,none,https://www.uml.edu/news/press-releases/2026/06042026-maine-senate-poll.aspx,fa1a48c7dd3199bc0cbf60e8a0465f45ae88e5db10869389bd5fb8391c78f5f6,2026-05-13,2026-05-16,2026-06-04,,2026-09-13T20:14:07.354383+00:00,2026-06-04,,2026-06-04,2026-05-16,senate-2026,US_SENATE,ME,senate-2026-ME,LV,650.0,,52.747,47.253,0.0,0.0,5.495,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.32,1.7,2.547,D,votehub_pollster_scorecards,Graham Platner,Susan Collins,Northeast
vh-us-202vic0a006caa,vh-study-us-202vic0a006caa,1,Victory Insights,none,https://irp.cdn-website.com/07e08705/files/uploaded/PollReport_NC-2026_12-2-24.pdf,6066211d09be24f7a25ae86f675da2a8bc30d09ccde8974999e8c287596143c3,2024-11-26,2024-11-29,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2024-11-29,senate-2026,US_SENATE,NC,senate-2026-NC,LV,800.0,,50.668,49.332,0.0,0.0,1.336,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.43333333333333335,0.0,1.0,1.3,fivethirtyeight_pollster_ratings,Roy Cooper,Lara Trump,South
vh-us-202vicec5afb5c,vh-study-us-202vicec5afb5c,1,Victory Insights,none,https://irp.cdn-website.com/07e08705/files/uploaded/PollSummary_NC-US-Senate_07-31-2025.pdf,1c01eceaa46ad8c675eaab423330b366dcf4af35774991b3d78c84c7f21a794c,2025-07-28,2025-07-30,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-07-30,senate-2026,US_SENATE,NC,senate-2026-NC,LV,600.0,,50.512,49.488,0.0,0.0,1.024,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.43333333333333335,0.0,1.0,1.3,fivethirtyeight_pollster_ratings,Roy Cooper,Michael Whatley,South
vh-us-202harc083001c,vh-study-us-202harc083001c,1,Harper Polling,Carolina Journal,https://www.carolinajournal.com/wp-content/uploads/2025/08/H23232-CJ-NC-Aug25-Toplines.pdf,b1da70a0803ea8954b6497209d54e26243779f9416163ca395d54b328a6ef64d,2025-08-11,2025-08-12,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-08-12,senate-2026,US_SENATE,NC,senate-2026-NC,LV,600.0,,54.745,45.255,0.0,0.0,9.491,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,fivethirtyeight_pollster_ratings,Roy Cooper,Michael Whatley,South
vh-us-202chab6c27b91,vh-study-us-202chab6c27b91,1,Change Research,Carolina Forward,https://docs.google.com/spreadsheets/d/1fTOAqF7rZ9ugyF1ZFqInJpQ1LgXEu1rnG1Js0y-1YSo/edit?nvep=&hmac=&emci=b910b780-d290-f011-b484-6045bdeb7413&emdi=ea000000-0000-0000-0000-000000000001&ceid=&gid=0#gid=0,dbf41f30c970751038016780b5ee12dbf86a48f96a3b64106a701ce9d60cfafb,2025-09-02,2025-09-08,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-09-08,senate-2026,US_SENATE,NC,senate-2026-NC,LV,855.0,,53.933,46.067,0.0,0.0,7.865,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.52,1.31,2.239,C,votehub_pollster_scorecards,Roy Cooper,Michael Whatley,South
vh-us-202har2b123ce0,vh-study-us-202har2b123ce0,1,Harper Polling,Carolina Journal,https://www.carolinajournal.com/wp-content/uploads/2025/09/H23315-CJ-NC-Sept25-Toplines.pdf,08ee7878c42e03a2985eb4fb92606d1b4e09183ef967191ef53e2ec532b5e0b1,2025-09-14,2025-09-15,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-09-15,senate-2026,US_SENATE,NC,senate-2026-NC,LV,600.0,,52.273,47.727,0.0,0.0,4.545,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,fivethirtyeight_pollster_ratings,Roy Cooper,Michael Whatley,South
vh-us-202har1bdb30c5,vh-study-us-202har1bdb30c5,1,Harper Polling,Carolina Journal,https://www.carolinajournal.com/polls/november-2025-cooper-maintains-lead-in-senate-race,f11d30b942d8a56f72a315352040cb8e6ab52980091ef857cb863e3215f4c326,2025-11-09,2025-11-10,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-11-10,senate-2026,US_SENATE,NC,senate-2026-NC,LV,600.0,,54.651,45.349,0.0,0.0,9.302,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,fivethirtyeight_pollster_ratings,Roy Cooper,Michael Whatley,South
vh-us-202harc344974e,vh-study-us-202harc344974e,1,Harper Polling,Carolina Journal,https://www.carolinajournal.com/wp-content/uploads/2025/11/H23440-CJ-NC-Nov25-Toplines.pdf,075c1e69c1a6c06a2bca1cb74ca6aeaeb57e7514d7228cf77339270084548a2c,2025-11-09,2025-11-10,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-11-10,senate-2026,US_SENATE,NC,senate-2026-NC,LV,600.0,,55.865,44.135,0.0,0.0,11.731,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,fivethirtyeight_pollster_ratings,Roy Cooper,Don Brown,South
vh-us-202eme013c2ece,vh-study-us-202eme013c2ece,1,Emerson,none,https://docs.google.com/spreadsheets/d/15z1ND9R9K0UklZgcXV7Wf1Qotwsj7kb7/edit?gid=455076038#gid=455076038,74995fa1d6a75e1a3fbda580a48e320f5dafacff3075897b2459c7d456d02b1a,2025-07-28,2025-07-30,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2025-07-30,senate-2026,US_SENATE,NC,senate-2026-NC,RV,1000.0,,53.008,46.992,0.0,0.0,6.016,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.72,-0.29,2.217,B,votehub_pollster_scorecards,Roy Cooper,Michael Whatley,South
vh-us-202cha2976f667,vh-study-us-202cha2976f667,1,Change Research,none,https://docs.google.com/spreadsheets/d/1_I2lZN7nOAANajydNZPjm_jaPVK_CVWO9FDuX0kReVQ/edit,53f67c575f587f6d4864ad72efed61de5408f29623dd25ffa7dcf77b570e5c63,2026-01-05,2026-01-07,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2026-01-07,senate-2026,US_SENATE,NC,senate-2026-NC,LV,1105.0,,52.809,47.191,0.0,0.0,5.618,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.52,1.31,2.239,C,votehub_pollster_scorecards,Roy Cooper,Michael Whatley,South
vh-us-202tipab84b110,vh-study-us-202tipab84b110,1,TIPP,League of American Workers,https://www.dailysignal.com/2026/01/19/exclusive-economy-remains-gops-biggest-vulnerability-in-north-carolina-new-poll-shows,cb383453f895abfc99dada3396a43ed51bd061a0383df9b9840034b2c7d26308,2026-01-12,2026-01-15,2026-02-17,,2026-09-13T20:14:07.354383+00:00,2026-02-17,,2026-02-17,2026-01-15,senate-2026,US_SENATE,NC,senate-2026-NC,RV,1512.0,,66.667,33.333,0.0,0.0,33.333,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.52,0.24,2.448,C,votehub_pollster_scorecards,Roy Cooper,Michael Whatley,South
vh-us-202cha2111afda,vh-study-us-202cha2111afda,1,Change Research,none,https://docs.google.com/spreadsheets/d/1Onaf6YlsprPfjSMODM7ibvwEXs082o7-jNMCML7lGGo/edit?gid=0#gid=0,91cb9681a64c95720f938fb76c73482f6509bc9eabf6307e7f8b72976cafcb3e,2026-01-31,2026-02-04,2026-02-20,,2026-09-13T20:14:07.354383+00:00,2026-02-20,,2026-02-20,2026-02-04,senate-2026,US_SENATE,NC,senate-2026-NC,RV,1069.0,,55.556,44.444,0.0,0.0,11.111,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.52,1.31,2.239,C,votehub_pollster_scorecards,Roy Cooper,Michael Whatley,South
vh-us-202onm04028dcb,vh-study-us-202onm04028dcb,1,OnMessage,Insurance Watchdog Coalition,https://www.nbc4i.com/news/your-local-election-hq/brown-leads-husted-in-new-ohio-senate-race-poll-with-healthcare-costs-a-top-concern,335e33cac1e338cf153f8a3ae7048c76743b1cd73c84a2ca7aad5417f081ad97,2026-03-03,2026-03-08,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2026-03-08,senate-2026,US_SENATE,OH,senate-2026-OH,LV,600.0,,51.087,48.913,0.0,0.0,2.174,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,prior_default,Sherrod Brown,Jon Husted,Midwest
vh-us-202emeea9b3350,vh-study-us-202emeea9b3350,1,Emerson,none,https://docs.google.com/spreadsheets/d/1XC3hL0rFXCZ_vYDiaq7J1ZLBJXdkvfPT/edit?gid=1877557151#gid=1877557151,7a245240b68f3bdf5264834708d1c678d5e2e8353438c224d27834a316beeed2,2025-12-06,2025-12-08,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2025-12-08,senate-2026,US_SENATE,OH,senate-2026-OH,RV,850.0,,48.686,51.314,0.0,0.0,-2.629,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.72,-0.29,2.217,B,votehub_pollster_scorecards,Sherrod Brown,Jon Husted,Midwest
vh-us-202bow288ac89a,vh-study-us-202bow288ac89a,1,Bowling Green State University/YouGov,none,https://scholarworks.bgsu.edu/cgi/viewcontent.cgi?article=1013&context=depo,8fd7a169304e383b4fca9e277c0be7c4db8344e10c3f5930ed5e35475531e002,2025-10-02,2025-10-14,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2025-10-14,senate-2026,US_SENATE,OH,senate-2026-OH,RV,800.0,,50.515,49.485,0.0,0.0,1.031,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,prior_default,Sherrod Brown,Jon Husted,Midwest
vh-us-202eme8f806411,vh-study-us-202eme8f806411,1,Emerson,none,https://docs.google.com/spreadsheets/d/1jc0ia3Tt5qFUIPqOeRNCrHzVIMJmawJO/edit?gid=533243968#gid=533243968,dd9542249ae9d56931584bf9b73fda3cc3a516f5b82fd680ce4898c37461ef71,2025-08-18,2025-08-19,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2025-08-19,senate-2026,US_SENATE,OH,senate-2026-OH,RV,1000.0,,46.888,53.112,0.0,0.0,-6.223,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.72,-0.29,2.217,B,votehub_pollster_scorecards,Sherrod Brown,Jon Husted,Midwest
vh-us-202bowabd25f95,vh-study-us-202bowabd25f95,1,Bowling Green State University/YouGov,none,https://scholarworks.bgsu.edu/cgi/viewcontent.cgi?article=1009&context=depo,b03cd21ec857c312f49b67a7367e917df19e8c41b96d9a96289c10756285c7e3,2025-04-18,2025-04-24,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2025-04-24,senate-2026,US_SENATE,OH,senate-2026-OH,RV,800.0,,48.421,51.579,0.0,0.0,-3.158,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,prior_default,Sherrod Brown,Jon Husted,Midwest
vh-us-202bowefe05ca7,vh-study-us-202bowefe05ca7,1,Bowling Green State University/YouGov,none,https://scholarworks.bgsu.edu/cgi/viewcontent.cgi?article=1007&context=depo,135578135f345ff2f9168da61e57aa30f0ddb278e1891d1176f60bb0249034b4,2025-02-14,2025-02-21,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2025-02-21,senate-2026,US_SENATE,OH,senate-2026-OH,RV,800.0,,46.591,53.409,0.0,0.0,-6.818,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.55,0.0,2.2,,prior_default,Sherrod Brown,Jon Husted,Midwest
vh-us-202emc72b76be3,vh-study-us-202emc72b76be3,1,EMC Research,Ohio Environmental Council,https://theoec.org/wp-content/uploads/2026/03/OEC-Ohio-Survey-Results-2026.pdf,d1d714b41f37fd1c0ebba676510a45a4a839a85fb698222a80b7832b6534d3bd,2026-02-10,2026-02-22,2026-03-12,,2026-09-13T20:14:07.354383+00:00,2026-03-12,,2026-03-12,2026-02-22,senate-2026,US_SENATE,OH,senate-2026-OH,LV,1343.0,,52.041,47.959,0.0,0.0,4.082,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.3,0.0,1.0,0.9,fivethirtyeight_pollster_ratings,Sherrod Brown,Jon Husted,Midwest
vh-us-202pub85665d25,vh-study-us-202pub85665d25,1,Public Policy Polling,none,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/03/NorthCarolinaResults31626.pdf,e7b1edbb3820af1b7e346d67cba8676b95569571ca615e986d2e4d91e897b6f9,2026-03-13,2026-03-14,2026-03-16,,2026-09-13T20:14:07.354383+00:00,2026-03-16,,2026-03-16,2026-03-14,senate-2026,US_SENATE,NC,senate-2026-NC,RV,556.0,,51.648,48.352,0.0,0.0,3.297,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.4666666666666666,0.0,1.0,1.4,fivethirtyeight_pollster_ratings,Roy Cooper,Michael Whatley,South
vh-us-202quad6aba264,vh-study-us-202quad6aba264,1,Quantus Insights,none,https://docs.google.com/spreadsheets/d/1ybme6RFR0Gz0WDhEeTLTeIQkeWU6vyqB/edit?rtpof=true&sd=true,183abcab806d37be54753fb30129dfe2237ca7ad62e7deab3438ffee844c09d1,2026-03-13,2026-03-14,2026-03-16,,2026-09-13T20:14:07.354383+00:00,2026-03-16,,2026-03-16,2026-03-14,senate-2026,US_SENATE,OH,senate-2026-OH,LV,925.0,,48.889,51.111,0.0,0.0,-2.222,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.72,-0.96,2.184,B,votehub_pollster_scorecards,Sherrod Brown,Jon Husted,Midwest
vh-us-202ala6fd3746f,vh-study-us-202ala6fd3746f,1,Alaska Survey Research,none,https://bsky.app/profile/alaskasurvey.bsky.social/post/3mi5sviz72222,04134846823c5ae7d9f7488c61cc1a96312dbfe2eec0bec2548f5eb18604958d,2026-03-19,2026-03-22,2026-03-29,,2026-09-13T20:14:07.354383+00:00,2026-03-29,,2026-03-29,2026-03-22,senate-2026,US_SENATE,AK,senate-2026-AK,LV,1283.0,,52.4,47.6,0.0,0.0,4.8,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.6333333333333333,0.0,2.2,1.9,fivethirtyeight_pollster_ratings,Mary Peltola,Dan Sullivan,West
vh-us-202pub023ecafb,vh-study-us-202pub023ecafb,1,Public Policy Polling,Democratic Senatorial Campaign Committee,https://www.politico.com/newsletters/playbook/2026/01/21/what-davos-really-thinks-of-trump-00738555?nname=playbook&nid=0000014f-1646-d88f-a1cf-5f46b7bd0000&nrid=4d735b47-a8a7-41f4-9c35-277919f359ed,996a61c70b096aba2cf5bfc10cae451bf70fb243956836810e70095dc029c512,2026-01-16,2026-01-17,2026-03-29,,2026-09-13T20:14:07.354383+00:00,2026-03-29,,2026-03-29,2026-01-17,senate-2026,US_SENATE,AK,senate-2026-AK,RV,611.0,,51.042,48.958,0.0,0.0,2.083,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.4666666666666666,0.0,1.0,1.4,fivethirtyeight_pollster_ratings,Mary Peltola,Dan Sullivan,West
vh-us-202ala3b65f6ef,vh-study-us-202ala3b65f6ef,1,Alaska Survey Research,none,https://x.com/The_Real_ASR/status/2011266752693616932,d38a99b57fbbc7b293edda9309d4a03c068dc392d8a87c970c9933765f6bfb4d,2026-01-08,2026-01-11,2026-03-29,,2026-09-13T20:14:07.354383+00:00,2026-03-29,,2026-03-29,2026-01-11,senate-2026,US_SENATE,AK,senate-2026-AK,LV,1681.0,,50.847,49.153,0.0,0.0,1.695,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.6333333333333333,0.0,2.2,1.9,fivethirtyeight_pollster_ratings,Mary Peltola,Dan Sullivan,West
vh-us-202eme1bcacacc,vh-study-us-202eme1bcacacc,1,Emerson,Nexstar Media/WGN-TV,https://docs.google.com/spreadsheets/d/1WMIkxH0hZRhWe0dbY6wtuuqshJGChuhv/edit?gid=1306158051#gid=1306158051,d93e3cb751919ececc03fd260870e036ebaf25221b9295c1d135b8e86b174252,2026-02-28,2026-03-02,2026-03-30,,2026-09-13T20:14:07.354383+00:00,2026-03-30,,2026-03-30,2026-03-02,senate-2026,US_SENATE,GA,senate-2026-GA,LV,1000.0,,52.418,47.582,0.0,0.0,4.835,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.72,-0.29,2.217,B,votehub_pollster_scorecards,Jon Ossoff,Mike Collins,South
vh-us-202qua80fe18a7,vh-study-us-202qua80fe18a7,1,Quantus Insights,none,https://drive.google.com/file/d/1s_XyIo0Rre1TGtVisHKu9hW3S4yEvxRl/view,aafc12852f2f37785aeb227228c0244fa9feeb62911e0650f113c05c3c9944cb,2025-09-09,2025-09-12,2026-03-30,,2026-09-13T20:14:07.354383+00:00,2026-03-30,,2026-03-30,2025-09-12,senate-2026,US_SENATE,GA,senate-2026-GA,RV,624.0,,50.066,49.934,0.0,0.0,0.132,False,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.72,-0.96,2.184,B,votehub_pollster_scorecards,Jon Ossoff,Mike Collins,South
vh-us-202tip0382be0d,vh-study-us-202tip0382be0d,1,TIPP,League of American Workers,https://dailycaller.com/2025/08/07/mike-collins-georgia-senate-poll,73e341beabd4e0c7e3d5de67ee8517e5f2fdcd643e43f674c8587fe688fe8b3e,2025-07-28,2025-08-01,2026-03-30,,2026-09-13T20:14:07.354383+00:00,2026-03-30,,2026-03-30,2025-08-01,senate-2026,US_SENATE,GA,senate-2026-GA,LV,2395.0,,50.562,49.438,0.0,0.0,1.124,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.52,0.24,2.448,C,votehub_pollster_scorecards,Jon Ossoff,Mike Collins,South
vh-us-202cyg167b9abc,vh-study-us-202cyg167b9abc,1,Cygnal,Democracy Defense Project,https://www.ajc.com/politics/2025/05/brad-raffensperger-for-senate-poll-shows-dead-heat-with-jon-ossoff/,c9651d02c6e6dc6fcd12c56e156a8edca334c5f73f67283372d8417298981bc1,2025-05-15,2025-05-17,2026-03-30,,2026-09-13T20:14:07.354383+00:00,2026-03-30,,2026-03-30,2025-05-17,senate-2026,US_SENATE,GA,senate-2026-GA,RV,800.0,,51.685,48.315,0.0,0.0,3.371,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.32,-0.2,2.415,D,votehub_pollster_scorecards,Jon Ossoff,Mike Collins,South
vh-us-202traba6abade,vh-study-us-202traba6abade,1,Trafalgar Group,none,https://www.thetrafalgargroup.org/wp-content/uploads/2025/04/GA-26-US-Senate-0428_Full-Report.pdf,25a27590e4c64a9a3623fccd8b03005db42cd7551ce7d5b7d52d3bdf6059327f,2025-04-24,2025-04-27,2026-03-30,,2026-09-13T20:14:07.354383+00:00,2026-03-30,,2026-03-30,2025-04-27,senate-2026,US_SENATE,GA,senate-2026-GA,LV,1426.0,,52.602,47.398,0.0,0.0,5.205,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.32,-1.38,2.701,D,votehub_pollster_scorecards,Jon Ossoff,Mike Collins,South
vh-us-202wpa60d3da4e,vh-study-us-202wpa60d3da4e,1,WPA Intelligence,Club for Growth,https://www.politico.com/news/2025/01/16/kemp-ossoff-poll-georgia-senate-00198719,3f972ea6acfdf7b0ce584f6275036222fc76917c29f9efbccf4c441c7fdc6a8f,2025-01-14,2025-01-15,2026-03-30,,2026-09-13T20:14:07.354383+00:00,2026-03-30,,2026-03-30,2025-01-15,senate-2026,US_SENATE,GA,senate-2026-GA,LV,500.0,,56.41,43.59,0.0,0.0,12.821,True,include,,votehub-ingest-v1,2026-09-13T20:14:07.354383+00:00,,state-usps-v1,ticket-v1,generic_two_way,,,en,1.0,True,False,,,,,,,,,,,0.5666666666666667,0.0,2.2,1.7,fivethirtyeight_pollster_ratings,Jon Ossoff,Mike Collins,South
