result_id,election_id,office,state,race_id,event_time,available_at,certified_at,dem_votes,rep_votes,other_votes,two_party_margin,margin_definition,margin_value,score_eligible,score_exclusion_reason,winner_party,winner_caucus,ballot_winner_party,modeled_side,stage,certification_status,source_url,raw_hash,retrieved_at,release_version
senate-2014-AK-certified,senate-2014,US_SENATE,AK,senate-2014-AK,2014-11-04,2014-11-22,,129431.0,135445.0,16148.0,-2.2705,dem_minus_rep,-2.2705,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-AL-certified,senate-2014,US_SENATE,AL,senate-2014-AL,2014-11-04,2014-11-22,,0.0,795606.0,0.0,,nonbinary_or_missing_major,,False,missing_dem_or_rep_votes,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-AR-certified,senate-2014,US_SENATE,AR,senate-2014-AR,2014-11-04,2014-11-22,,334174.0,478819.0,34007.0,-17.7917,dem_minus_rep,-17.7917,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-CO-certified,senate-2014,US_SENATE,CO,senate-2014-CO,2014-11-04,2014-11-22,,944203.0,983891.0,112964.0,-2.0584,dem_minus_rep,-2.0584,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-DE-certified,senate-2014,US_SENATE,DE,senate-2014-DE,2014-11-04,2014-11-22,,130655.0,98823.0,4560.0,13.8715,dem_minus_rep,13.8715,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-GA-certified,senate-2014,US_SENATE,GA,senate-2014-GA,2014-11-04,2014-11-22,,1160811.0,1358088.0,48906.0,-7.8319,dem_minus_rep,-7.8319,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-HI-special-certified,senate-2014,US_SENATE,HI,senate-2014-HI-special,2014-11-04,2014-11-22,,246827.0,98006.0,8941.0,43.1574,dem_minus_rep,43.1574,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-IA-certified,senate-2014,US_SENATE,IA,senate-2014-IA,2014-11-04,2014-11-22,,494370.0,588575.0,45644.0,-8.699,dem_minus_rep,-8.699,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-ID-certified,senate-2014,US_SENATE,ID,senate-2014-ID,2014-11-04,2014-11-22,,151574.0,285596.0,0.0,-30.6567,dem_minus_rep,-30.6567,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-IL-certified,senate-2014,US_SENATE,IL,senate-2014-IL,2014-11-04,2014-11-22,,1929637.0,1538522.0,135360.0,11.2773,dem_minus_rep,11.2773,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-KS-certified,senate-2014,US_SENATE,KS,senate-2014-KS,2014-11-04,2014-11-22,,0.0,460350.0,405841.0,,nonbinary_or_missing_major,,False,missing_dem_or_rep_votes,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-KY-certified,senate-2014,US_SENATE,KY,senate-2014-KY,2014-11-04,2014-11-22,,584698.0,806787.0,44383.0,-15.9606,dem_minus_rep,-15.9606,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-LA-certified,senate-2014,US_SENATE,LA,senate-2014-LA,2014-12-06,2014-12-07,,561210.0,712379.0,0.0,-11.8695,dem_minus_rep,-11.8695,True,,R,R,R,R,runoff,public_canvass_unproven,https://www.fec.gov/resources/cms-content/documents/federalelections2014.pdf,298661f56187679e8c22ee57f53071cd757f9ae9d1bf7d0c8688c93a639ed20f,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MA-certified,senate-2014,US_SENATE,MA,senate-2014-MA,2014-11-04,2014-11-22,,1289944.0,791950.0,6.0,23.9202,dem_minus_rep,23.9202,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-ME-certified,senate-2014,US_SENATE,ME,senate-2014-ME,2014-11-04,2014-11-22,,190254.0,413505.0,0.0,-36.9768,dem_minus_rep,-36.9768,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MI-certified,senate-2014,US_SENATE,MI,senate-2014-MI,2014-11-04,2014-11-22,,1704936.0,1290199.0,126636.0,13.847,dem_minus_rep,13.847,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MN-certified,senate-2014,US_SENATE,MN,senate-2014-MN,2014-11-04,2014-11-22,,1053205.0,850227.0,77215.0,10.6638,dem_minus_rep,10.6638,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MS-certified,senate-2014,US_SENATE,MS,senate-2014-MS,2014-11-04,2014-11-22,,239439.0,378481.0,13938.0,-22.5016,dem_minus_rep,-22.5016,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MT-certified,senate-2014,US_SENATE,MT,senate-2014-MT,2014-11-04,2014-11-22,,148184.0,213709.0,7933.0,-18.1062,dem_minus_rep,-18.1062,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
